id,user_id,action,entity_type,entity_id,previous_value,new_value,ip_address,reason,created_at
1,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 21:29:22.750
2,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 21:30:38.177
3,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 21:30:43.813
4,3.0,PROCUREMENT_CREATED,Procurement,2.0,,"{""tender_number"": ""TB-2026-611"", ""title"": ""Supplies of bed"", ""has_form_d"": false, ""has_form_e"": false, ""has_itt"": true, ""has_rfq"": false}",127.0.0.1,,2026-08-31 21:32:28.670
5,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,2.0,"{""status"": ""draft""}","{""status"": ""published""}",127.0.0.1,,2026-08-31 21:32:30.487
6,3.0,PROCUREMENT_STATUS_CHANGED,Procurement,2.0,"{""status"": ""published""}","{""status"": ""submission_open""}",127.0.0.1,,2026-08-31 21:32:32.187
7,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 21:33:00.587
8,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 21:33:05.457
9,8.0,PAYMENT_PROOF_SUBMITTED,BidderPayment,2.0,,"{""procurement_id"": 2, ""bidder_id"": 2, ""reference"": ""REF/123"", ""amount"": 555.0}",127.0.0.1,,2026-08-31 21:33:32.220
10,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 21:33:42.267
11,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 21:33:48.410
12,3.0,PAYMENT_APPROVED,BidderPayment,2.0,,"{""bidder_id"": 2, ""reference"": ""REF/123"", ""amount"": 555.0, ""procurement_id"": 2}",127.0.0.1,,2026-08-31 21:34:03.050
13,3.0,DOCUMENT_ACCESS_GRANTED,BidderDocumentAccess,2.0,,"{""bidder_id"": 2, ""granted_by"": 3, ""documents"": [""ITT""]}",127.0.0.1,,2026-08-31 21:34:03.067
14,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 21:34:10.630
15,8.0,LOGIN_SUCCESS,User,8.0,,,127.0.0.1,,2026-08-31 21:34:15.247
16,8.0,BID_SUBMITTED,Submission,3.0,,"{""envelope_type"": ""technical"", ""hash"": ""1afdd1cdd7ee7a05384b21803a78bd71338ac445c851541b8382b8213deaee8a"", ""receipt"": ""SUB-20260831-6C76E339""}",127.0.0.1,,2026-08-31 21:34:41.980
17,8.0,BID_SUBMITTED,Submission,4.0,,"{""envelope_type"": ""financial"", ""hash"": ""e66e634be020cb7e4d37e46ae0247f4a426ed38d323e67c9f313055f3b5b666d"", ""receipt"": ""SUB-20260831-F93365CB""}",127.0.0.1,,2026-08-31 21:34:42.047
18,8.0,LOGOUT,User,8.0,,,127.0.0.1,,2026-08-31 21:34:46.147
19,3.0,LOGIN_SUCCESS,User,3.0,,,127.0.0.1,,2026-08-31 21:34:50.183
20,3.0,LOGOUT,User,3.0,,,127.0.0.1,,2026-08-31 21:35:25.300
21,,USER_REGISTERED,User,9.0,,"{""username"": ""A.Machona"", ""role"": ""bidder"", ""company"": ""BURSS""}",127.0.0.1,,2026-08-31 21:36:36.913
22,,EMAIL_CONFIRMED,User,9.0,,,127.0.0.1,,2026-08-31 21:37:14.190
23,2.0,LOGIN_SUCCESS,User,2.0,,,127.0.0.1,,2026-08-31 21:37:26.543
24,2.0,BIDDER_COMPLIANCE_REVIEWED,BidderComplianceDocument,1.0,,"{""decision"": ""approved"", ""user_id"": 9, ""bidder_id"": 3}",127.0.0.1,,2026-08-31 21:37:48.143
