id,bidder_id,document_type,original_filename,status,review_notes,submitted_at,reviewed_at,reviewed_by_id
1,3,cipa_equivalent,EBMS_Terms_of_Reference_AS_ORIGINAL_FORMAT.docx,approved,,2026-08-31 21:36:33.313,2026-08-31 21:37:44.637,2
2,3,tax_certificate,EBMS_Terms_of_Reference_AS_ORIGINAL_FORMAT.docx,approved,,2026-08-31 21:36:33.313,2026-08-31 21:37:44.637,2
3,4,cipa_equivalent,EBMS_Terms_of_Reference_AS_ORIGINAL_FORMAT.docx,approved,,2026-08-31 21:56:04.187,2026-08-31 21:57:00.747,2
4,4,tax_certificate,EBMS_Terms_of_Reference_AS_ORIGINAL_FORMAT.docx,approved,,2026-08-31 21:56:04.187,2026-08-31 21:57:00.747,2
5,5,cipa_equivalent,Final ToR Template (1) - Copy (1).docx,approved,,2026-08-31 21:58:45.063,2026-08-31 21:59:31.503,2
6,5,tax_certificate,Final ToR Template (1) - Copy (1).docx,approved,,2026-08-31 21:58:45.063,2026-08-31 21:59:31.503,2
7,10,cipa_equivalent,EBMS_Botswana_PPRA_Procurement_Workflow_Requirements.docx,approved,,2026-09-01 12:11:25.860,2026-09-03 02:07:05.187,2
8,10,tax_certificate,1_List_of_Registration_Codes_PPADB.pdf,approved,,2026-09-01 12:11:25.860,2026-09-03 02:07:05.187,2
9,11,cipa_equivalent,P REVIEW 1.docx,approved,,2026-09-14 08:56:30.437,2026-09-14 11:14:41.700,2
10,11,tax_certificate,P REVIEW 1.docx,approved,,2026-09-14 08:56:30.437,2026-09-14 11:14:41.700,2
