id,procurement_id,bidder_id,document_type,payment_id,status,granted_by_id,granted_at,revoked_by_id,revoked_at,revocation_reason
1,2,2,itt,2,active,3,2026-08-31 21:34:02.967,,,
2,2,2,all_bidder_docs,2,active,3,2026-08-31 21:34:03.033,,,
3,2,3,itt,3,active,3,2026-08-31 21:39:26.583,,,
4,2,3,all_bidder_docs,3,active,3,2026-08-31 21:39:26.617,,,
5,2,5,itt,4,active,3,2026-08-31 22:01:16.137,,,
6,2,5,all_bidder_docs,4,active,3,2026-08-31 22:01:16.173,,,
7,3,2,itt,5,active,3,2026-08-31 22:41:13.883,,,
8,3,2,all_bidder_docs,5,active,3,2026-08-31 22:41:13.903,,,
9,5,5,itt,6,active,3,2026-08-31 22:59:51.247,,,
10,5,5,all_bidder_docs,6,active,3,2026-08-31 22:59:51.280,,,
11,11,2,itt,7,active,3,2026-09-01 01:17:43.283,,,
12,11,2,all_bidder_docs,7,active,3,2026-09-01 01:17:43.330,,,
13,12,2,itt,8,active,3,2026-09-01 11:24:04.610,,,
14,12,2,all_bidder_docs,8,active,3,2026-09-01 11:24:04.647,,,
15,11,5,itt,10,active,3,2026-09-02 18:25:32.317,,,
16,11,5,all_bidder_docs,10,active,3,2026-09-02 18:25:32.350,,,
17,11,3,itt,9,active,3,2026-09-02 18:25:51.083,,,
18,11,3,all_bidder_docs,9,active,3,2026-09-02 18:25:51.117,,,
19,12,5,itt,11,active,3,2026-09-02 18:40:46.703,,,
20,12,5,all_bidder_docs,11,active,3,2026-09-02 18:40:46.737,,,
21,14,5,itt,13,active,3,2026-09-02 21:34:27.077,,,
22,14,5,all_bidder_docs,13,active,3,2026-09-02 21:34:27.110,,,
23,14,2,itt,12,active,3,2026-09-02 21:34:35.520,,,
24,14,2,all_bidder_docs,12,active,3,2026-09-02 21:34:35.547,,,
25,15,2,itt,14,active,3,2026-09-07 19:17:19.823,,,
26,15,2,all_bidder_docs,14,active,3,2026-09-07 19:17:19.863,,,
27,17,2,itt,15,active,3,2026-09-14 13:09:50.290,,,
28,17,2,all_bidder_docs,15,active,3,2026-09-14 13:09:50.330,,,
29,18,2,itt,16,active,3,2026-09-14 17:08:43.083,,,
30,18,2,all_bidder_docs,16,active,3,2026-09-14 17:08:43.113,,,
