id,procurement_id,bidder_id,submitted_by_id,payment_reference,amount,proof_filename,supporting_document_filename,status,notes,submitted_at,reviewed_by_id,reviewed_at
1,1,1,1,PAY-200,0.0,proof.pdf,,approved,,2026-08-31 21:27:24.267,,
2,2,2,8,REF/123,555.0,1_List_of_Registration_Codes_PPADB.pdf,TB-2026-611_2_db3a1dc2_Document_3_1_2_4_2_1.pdf,approved,Payment verified and approved by Procurement.,2026-08-31 21:33:32.137,3.0,2026-08-31 21:34:02.933
3,2,3,9,REF/123,555.0,EBMS_Terms_of_Reference.pdf,TB-2026-611_3_db4d3dd3_1_List_of_Registration_Codes_PPADB.pdf,approved,Payment verified and approved by Procurement.,2026-08-31 21:38:46.303,3.0,2026-08-31 21:39:26.550
4,2,5,11,Allen Machona,555.0,EBMS_Gantt_Chart.png,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB.pdf,approved,Payment verified and approved by Procurement.,2026-08-31 22:00:31.300,3.0,2026-08-31 22:01:15.920
5,3,2,8,Ref/78891,300.0,EBMS_Gantt_Chart (1).png,TB-2026-301_2_c70e3283_TB-2026-611_3_db4d3dd3_1_List_of_Registration_Codes_PPADB.pdf,approved,Payment verified and approved by Procurement.,2026-08-31 22:40:41.863,3.0,2026-08-31 22:41:13.853
6,5,5,11,REF/123,32.84,Final ToR Template (1) - Copy (1).docx,TB-2026-261_5_f62cad44_Final_ToR_Template_1_-_Copy_1.docx,approved,Payment verified and approved by Procurement.,2026-08-31 22:59:19.200,3.0,2026-08-31 22:59:51.217
7,11,2,8,Ref/78891,400.0,1_List_of_Registration_Codes_PPADB.pdf,TB-2026-759_2_ef6abbff_1_List_of_Registration_Codes_PPADB.pdf,approved,Payment verified and approved by Procurement.,2026-09-01 01:16:47.523,3.0,2026-09-01 01:17:43.267
8,12,2,8,Allen Machona,400.0,EBMS_Botswana_PPRA_Procurement_Workflow_Requirements.docx,,approved,Payment verified and approved by Procurement.,2026-09-01 11:23:02.647,3.0,2026-09-01 11:24:04.580
9,11,3,9,Allen Machona,400.0,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB (1).pdf,,approved,Payment verified and approved by Procurement.,2026-09-02 18:22:07.927,3.0,2026-09-02 18:25:51.063
10,11,5,11,Allen Machona,199.96,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB (1).pdf,TB-2026-759_5_3217ae47_TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB_1.pdf,approved,Payment verified and approved by Procurement.,2026-09-02 18:22:58.723,3.0,2026-09-02 18:25:32.300
11,12,5,11,Allen Machona,400.0,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB (1).pdf,,approved,Payment verified and approved by Procurement.,2026-09-02 18:40:23.853,3.0,2026-09-02 18:40:46.673
12,14,2,8,Allen Machona,1000.0,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB (1).pdf,,approved,Payment verified and approved by Procurement.,2026-09-02 21:33:04.870,3.0,2026-09-02 21:34:35.493
13,14,5,11,Ref/78891,1000.0,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB (1).pdf,,approved,Payment verified and approved by Procurement.,2026-09-02 21:33:23.687,3.0,2026-09-02 21:34:27.043
14,15,2,8,Allen Machona,299.83,EBMS_Project_Review_Record_Sheet.docx,TB-2026-960_2_6ca1711e_EBMS_Project_Review_Record_Sheet.docx,approved,Payment verified and approved by Procurement.,2026-09-07 19:16:23.903,3.0,2026-09-07 19:17:19.790
15,17,2,8,Allen Machona,150.0,LIT VIEW2.docx,TB-2026-372_2_36860ea2_LIT_VIEW2.docx,approved,Payment verified and approved by Procurement.,2026-09-14 13:08:22.403,3.0,2026-09-14 13:09:50.260
16,18,2,8,Allen Machona,200.0,LIT VIEW.docx,,approved,Payment verified and approved by Procurement.,2026-09-14 17:08:26.483,3.0,2026-09-14 17:08:43.050
