id,procurement_id,action,previous_status,new_status,reason,restored_from_history_id,performed_by_id,performed_at,requires_approval,approved_by_id,approved_at,affected_submission_deadline,affected_opening_date
1,2,published,draft,published,,,3,2026-08-31 21:32:30.453,False,,,,
2,2,submission_open,published,submission_open,,,3,2026-08-31 21:32:32.170,False,,,,
3,3,published,draft,published,,,3,2026-08-31 22:40:03.143,False,,,,
4,3,submission_open,published,submission_open,,,3,2026-08-31 22:40:04.323,False,,,,
5,4,published,draft,published,,,3,2026-08-31 22:47:03.620,False,,,,
6,4,submission_open,published,submission_open,,,3,2026-08-31 22:47:05.220,False,,,,
7,5,published,draft,published,,,3,2026-08-31 22:51:33.170,False,,,,
8,5,submission_open,published,submission_open,,,3,2026-08-31 22:51:34.670,False,,,,
9,11,published,draft,published,,,3,2026-09-01 01:16:01.990,False,,,,
10,11,submission_open,published,submission_open,,,3,2026-09-01 01:16:03.510,False,,,,
11,2,closed,submission_open,closed,,,3,2026-09-01 01:23:03.200,False,,,,
12,12,published,draft,published,,,3,2026-09-01 11:20:43.877,False,,,,
13,12,submission_open,published,submission_open,,,3,2026-09-01 11:21:40.050,False,,,,
14,2,under_evaluation,closed,under_evaluation,,,3,2026-09-01 11:32:59.163,False,,,,
15,4,closed,submission_open,closed,,,3,2026-09-02 16:15:29.920,False,,,,
16,4,submission_open,closed,submission_open,,,3,2026-09-02 16:16:34.023,False,,,,
17,8,submission_open,published,submission_open,,,3,2026-09-02 16:43:40.823,False,,,,
18,12,closed,submission_open,closed,,,3,2026-09-02 18:38:15.013,False,,,,
19,12,submission_open,closed,submission_open,,,3,2026-09-02 18:38:48.393,False,,,,
20,11,closed,submission_open,closed,,,3,2026-09-02 19:17:49.893,False,,,,
21,11,submission_open,closed,submission_open,,,3,2026-09-02 19:18:02.617,False,,,,
22,11,closed,submission_open,closed,,,3,2026-09-02 19:25:59.020,False,,,,
23,11,under_evaluation,closed,under_evaluation,,,3,2026-09-02 19:31:12.300,False,,,,
24,14,published,draft,published,,,3,2026-09-02 21:32:19.150,False,,,,
25,14,submission_open,published,submission_open,,,3,2026-09-02 21:32:21.317,False,,,,
26,14,closed,submission_open,closed,,,3,2026-09-02 22:07:18.270,False,,,,
27,14,under_evaluation,closed,under_evaluation,,,3,2026-09-02 22:12:22.990,False,,,,
28,14,cooling_off,award_published,cooling_off,,,3,2026-09-02 22:36:43.747,False,,,,
29,12,closed,submission_open,closed,,,3,2026-09-03 08:01:19.503,False,,,,
30,12,under_evaluation,closed,under_evaluation,,,3,2026-09-03 08:04:22.580,False,,,,
31,12,cooling_off,award_published,cooling_off,,,3,2026-09-03 08:09:01.797,False,,,,
32,11,cooling_off,award_published,cooling_off,,,3,2026-09-03 16:26:19.350,False,,,,
33,15,published,draft,published,,,3,2026-09-07 19:15:25.250,False,,,,
34,15,submission_open,published,submission_open,,,3,2026-09-07 19:15:26.827,False,,,,
35,15,closed,submission_open,closed,,,3,2026-09-07 19:28:37.987,False,,,,
36,15,under_evaluation,closed,under_evaluation,,,3,2026-09-07 19:35:57.867,False,,,,
37,15,cooling_off,award_published,cooling_off,,,3,2026-09-07 19:40:37.827,False,,,,
38,17,published,draft,published,,,3,2026-09-14 13:05:24.630,False,,,,
39,17,submission_open,published,submission_open,,,3,2026-09-14 13:06:39.797,False,,,,
40,17,closed,submission_open,closed,,,3,2026-09-14 17:03:51.333,False,,,,
41,18,published,draft,published,,,3,2026-09-14 17:06:39.157,False,,,,
42,18,submission_open,published,submission_open,,,3,2026-09-14 17:06:40.590,False,,,,
43,18,closed,submission_open,closed,,,3,2026-09-15 07:34:35.063,False,,,,
