id,tender_number,title,description,category,procurement_entity,ppra_code,ppra_sub_code,method,evaluation_method,envelope_type,estimated_value,user_department,submission_deadline,clarification_deadline,opening_scheduled_at,status,cancelled,cancelled_reason,cancelled_at,replacement_of_id,created_by_id,created_at,updated_at,tender_fee,form_d_filename,form_e_filename,itt_filename,rfq_filename,evaluator_feedback_released_at,evaluator_feedback_released_by_id
1,TB-2026-1001,Grouped Bid Tender,,works,MOG,,,open_domestic,,single,300000.0,MOG,,,,submission_open,False,,,,1,2026-08-31 21:27:24.187,2026-08-31 21:27:24.187,0.0,,,,,,
2,TB-2026-611,Supplies of bed,beds,services,mysc,105-03,03,open_domestic,least_cost_services,dual,364.0,mysc,2026-09-01 00:32:00.000,2026-09-01 12:33:00.000,,award_published,False,,,,3,2026-08-31 21:32:28.590,2026-09-02 16:34:48.653,555.0,,,EBMS_Terms_of_Reference.pdf,,,
3,TB-2026-301,TOURISIM EQUIPMENT,TOURISIM EQUIPMENT,works,BOFINET,102-01,01,open_domestic,least_cost_services,dual,3000.0,BOFINET,2026-09-03 00:39:00.000,2026-09-02 00:39:00.000,,submission_open,False,,,,3,2026-08-31 22:40:00.893,2026-08-31 22:40:04.280,300.0,,,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB.pdf,,,
4,TB-2026-979,GUIDE US,"Maintenance of Vehicles, Machinery and other Services",services,MYSC,102-03,03,open_domestic,least_cost_services,dual,333.0,MYSC,2026-09-02 21:20:00.000,2026-09-02 00:45:00.000,,submission_open,False,,,,3,2026-08-31 22:47:00.907,2026-09-02 16:16:33.960,10.99,,,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB.pdf,,,
5,TB-2026-261,WEB,Material Testing (new code),consultancy,Bofinet,106-01,01,open_domestic,least_cost_services,dual,2222.0,Bofinet,2026-09-02 13:51:00.000,2026-09-02 13:51:00.000,,submission_open,False,,,,3,2026-08-31 22:51:00.920,2026-08-31 22:51:34.657,32.84,,,EBMS_Terms_of_Reference_AS_ORIGINAL_FORMAT.docx,,,
6,TB-2026-ADVERT-1F0827EB,Advertisement Access Test,,works,Ministry of Transport,,,open_domestic,,single,150000.0,Ministry of Transport,,,,published,False,,,,1,2026-08-31 22:56:49.007,2026-08-31 22:56:49.007,0.0,,,,,,
7,TB-2026-VERIFY-24422DCC,Verify Advertisement Access,,works,Ministry of Transport,,,open_domestic,,single,150000.0,Ministry of Transport,,,,published,False,,,,2,2026-08-31 22:57:10.680,2026-08-31 22:57:10.680,0.0,,,,,,
8,TB-2026-VERIFY-9B379249,Verify Advertisement Access,,works,Ministry of Transport,,,open_domestic,,single,150000.0,Ministry of Transport,2026-09-02 18:43:00.000,,,submission_open,False,,,,2,2026-08-31 22:57:48.020,2026-09-02 16:43:40.777,0.0,,,,,,
9,TB-POU-TEST-001,POU oversight access test,,works,Ministry of Transport,,,open_domestic,,single,200000.0,Ministry of Transport,,,,published,False,,,,1,2026-08-31 23:07:36.143,2026-08-31 23:07:36.143,0.0,,,,,,
10,TB-SIM-AWARD-2026-001,Simulation: Supply and Delivery of Office Equipment,Demo procurement created to test the award workflow with evaluator scores.,supplies,Ministry of Transport,211,05,open_domestic,quality_cost_based,single,520000.0,Ministry of Transport,2026-08-22 00:47:56.523,2026-08-24 00:47:56.523,2026-08-25 00:47:56.523,award_published,False,,,,3,2026-09-01 00:47:56.523,2026-09-01 01:09:38.077,0.0,,,,,,
11,TB-2026-759,SUPPLY FOR COOKING OIL,Food Supplies,supplies,BOFINET,207-01,01,open_domestic,least_cost_services,dual,6000.0,BOFINET,2026-09-02 21:25:00.000,2026-09-02 06:17:00.000,,cooling_off,False,,,,3,2026-09-01 01:16:00.160,2026-09-03 16:26:19.310,400.0,,,1_List_of_Registration_Codes_PPADB.pdf,,2026-09-02 19:56:53.813,3.0
12,TB-2026-431,Internet Services,ICT Technical Support Services,supplies,BOFINET,120-07,07,open_domestic,least_cost_supplies,single,30000.0,BOFINET,2026-09-02 20:42:00.000,2026-09-02 11:20:00.000,,cooling_off,False,,,,3,2026-09-01 11:20:06.770,2026-09-03 08:09:01.763,400.0,,,EBMS_Botswana_PPRA_Procurement_Workflow_Requirements.docx,,2026-09-03 08:03:42.580,3.0
13,TB-TEST-NAV,Navigation Check,,supplies,Ministry Test,,,open_domestic,,single,1000.0,Procurement,,,,draft,False,,,,16,2026-09-01 16:40:27.240,2026-09-01 16:40:27.240,0.0,,,,,,
14,TB-2026-148,SUPPLY FOR CARS,Maintenance of Vehicles Related Equipment,works,BOFINET,111-01,01,open_international,least_cost_supplies,dual,30000.0,BOFINET,2026-09-03 00:05:00.000,2026-09-03 00:00:00.000,,cooling_off,False,,,,3,2026-09-02 21:32:17.283,2026-09-02 22:36:43.713,1000.0,,,TB-2026-611_5_b281cba4_1_List_of_Registration_Codes_PPADB (1).pdf,,2026-09-02 22:14:02.100,3.0
15,TB-2026-960,SUPPLY FO TABLES,Security Services (100% citizen ALL),works,BOFINET,01-01,01,open_domestic,least_cost_services,single,30000.0,BOFINET,2026-09-09 03:02:00.000,2026-09-08 00:10:00.000,,cooling_off,False,,,,3,2026-09-07 19:15:14.763,2026-09-07 19:40:37.790,299.83,,,EBMS_Project_Review_Record_Sheet.docx,,2026-09-07 19:35:26.690,3.0
16,TB-2026-595,SUPPLY OF SHOES,"Maintenance of Vehicles, Machinery and other Services",works,BOFINET,102-02,02,open_domestic,least_cost_services,single,300.0,BOFINET,2026-09-16 10:50:00.000,2026-09-15 00:51:00.000,,draft,False,,,,3,2026-09-14 08:51:20.927,2026-09-14 08:51:20.927,299.83,,,LIT VIEW2.docx,,,
17,TB-2026-372,SUPPLY OF SMART PHONES,SUPPLY OF PHONES,supplies,BOFINET,118-02,02,open_domestic,least_cost_services,single,30000.0,BOFINET,2026-09-18 15:03:00.000,2026-09-16 15:03:00.000,,closed,False,,,,3,2026-09-14 13:04:49.907,2026-09-14 17:03:51.263,200.0,LIT VIEW2.docx,LIT VIEW2.docx,P REVIEW 1.docx,,,
18,TB-2026-703,SUPPLY WENA,Security Services (100% citizen ALL),consultancy,BOFINET,100-03,03,open_domestic,least_cost_services,single,3000.0,BOFINET,2026-09-16 19:06:00.000,2026-09-16 19:06:00.000,,closed,False,,,,3,2026-09-14 17:06:37.140,2026-09-15 07:34:21.163,200.0,,,LIT VIEW2.docx,,,
